token_index,valuation
143,174.1254
144,0.09231115
145,0.35035872
146,0.10165379
147,32.602627
148,0.21689832
149,0.11783008
150,156.62344
151,0.06272573
152,0.096293315
153,0.07150821
154,0.11357582
155,10.68711
156,0.08068209
157,0.064910896
158,0.09918163
159,0.09151093
160,52.950512
161,82.920746
162,0.09276454
163,0.10277869
164,0.073309295
165,0.08169668
166,0.09733188
167,0.08505905
168,25.009033
169,57.32769
170,0.10798393
171,0.071503535
172,0.14319809
173,98.13099
174,0.117469616
175,0.069335155
176,0.10765628
177,0.08386019
178,0.13575354
179,34.955254
180,0.12667945
181,0.31676638
182,53.245197
183,0.19526342
184,0.106777065
185,0.15460348
186,22.463907
187,0.2194212
188,0.14679043
189,0.104952596
190,0.20844774
191,0.33611098
192,0.09222468
193,0.056342866
194,0.0968597
195,13.945403
196,0.055611465
197,66.176926
198,0.14650556
199,0.10751792
200,0.3145879
201,0.10036403
202,0.090169564
203,74.00185
204,0.095252305
205,0.10599111
206,0.05137512
207,0.13196844
208,0.118642114
209,0.088870935
210,0.10685912
211,100.67039
212,0.111635536
213,0.22630723
214,0.08594006
215,0.25686023
216,0.14150222
217,0.08198005
218,0.074881844
219,0.069894604
220,43.385
221,0.07803319
222,0.073709324
223,0.10657479
224,0.12919767
225,0.1746189
226,0.14342067
227,0.22759841
228,0.12852107
229,89.67692
230,0.04539987
231,0.0997875
232,0.12197504
233,41.592598
234,60.028564
235,52.09967
236,0.088859744
237,0.11295569
238,0.119913794
239,23.746399
240,35.79713
241,2.1176658
242,0.07526617
243,0.05575931
244,0.12952732
245,0.21431984
246,42.364773
247,0.1328566
248,0.14767198
249,0.86782366
250,0.101112284
251,0.13529338
252,89.03686
253,0.11052314
254,0.1747677
255,0.07727968
256,0.0895859
257,72.07705
258,85.451454
259,80.75727
260,165.29288
261,0.14580229
262,0.10243581
263,89.37476
264,11.882267
265,0.061874796
266,0.071162134
267,0.067477
268,0.13039978
269,0.1374143
270,0.114937276
271,0.16080706
272,0.11787684
273,80.26511
274,0.08977204
275,0.120554104
276,0.30004945
277,0.22181407
278,39.297894
279,0.1490465
280,0.24822436
281,0.7481489
282,42.856693
283,2.9516156
284,54.22194
285,27.694847
286,72.13285
287,24.093515
288,47.9506
289,0.107400015
290,0.20649306
291,29.090263
292,0.044213384
293,0.09096869
294,8.611724
295,0.09419415
296,0.24098095
297,0.08589197
298,0.2703447
299,17.116625
300,79.149414
301,47.192913
302,0.08274095
303,0.119811885
304,0.09387512
305,67.51202
306,0.11295817
307,46.91464
308,76.96607
309,0.089665964
310,0.0837608
311,0.075268015
312,82.724464
313,0.122378714
314,59.474174
315,0.1416729
316,0.19791497
317,0.0677173
318,25.257885
319,0.108283296
320,0.20816477
321,0.32229662
322,81.594864
323,0.30856258
324,55.148643
325,81.70824
326,0.12854344
327,71.01346
328,52.881817
329,24.16334
330,0.03888427
331,58.0766
332,16.059275
333,0.1414456
334,0.07115788
335,91.76936
336,0.1308011
337,0.19343534
338,25.997469
339,242.83034
340,138.7405
341,123.57936
342,159.78333
343,0.05201734
344,5.0395274
345,0.051917624
346,0.535075
347,0.041540533
348,0.12963176
349,54.27397
350,0.1853546
351,0.0813625
352,30.218115
353,94.81807
354,58.168835
355,0.76059455
356,0.22997433
357,0.053289466
358,0.1109157
359,46.085823
360,0.07826393
361,0.23965688
362,0.09100057
363,79.126205
364,324.52078
365,42.899498
366,0.11673637
367,0.20743372
368,70.44621
369,0.0885065
370,0.08240071
371,0.20578223
372,2707.7969
373,0.07516406
374,64.99468
375,0.13069087
376,54.916252
377,77.846664
378,0.11199962
379,0.11446767
380,0.16253477
381,43.564045
382,131.81195
383,35.747288
384,38.64889
385,98.855095
386,0.058847643
387,213.09482
388,0.14918663
389,0.05526082
390,0.35161993
391,0.13067642
392,0.2376094
393,0.11672779
394,0.100052245
395,0.08456179
396,0.20608401
397,0.1407207
398,0.18647033
399,55.63843
400,0.09859735
401,0.058841918
402,46.109673
403,0.10800448
404,0.9745346
405,0.24709475
406,332.66107
407,83.399765
408,0.19651094
409,0.050119385
410,26.170279
411,24.570597
412,56.993095
413,87.90589
414,0.12052741
415,0.07226729
416,206.46996
417,0.20205376
418,82.74826
419,0.08092306
420,0.05923513
421,0.08687533
422,110.00489
423,65.345924
424,0.11023826
425,0.1333278
426,20.349407
427,0.32225755
428,0.15541111
429,0.03383193
430,41.881
431,67.01168
432,143.83353
433,0.0987415
434,81.54313
435,51.64196
436,0.14403285
437,0.08610219
438,0.24989155
439,0.038168754
440,0.09437198
441,59.46842
442,0.10562691
443,0.23825014
444,0.07736517
445,161.43031
446,22.817238
447,74.841034
448,0.32304847
449,39.112305
450,0.083946764
451,0.2211104
452,0.07782983
453,65.09303
454,0.10917906
455,0.14938311
456,0.09053467
457,155.04997
458,0.083717115
459,0.08452329
460,2.4152992
461,0.029565101
462,0.05219474
463,0.08223693
464,0.10092839
465,14.542084
466,0.09470512
467,0.091041006
468,0.38533124
469,0.29283154
470,20.287783
471,13.541533
472,0.103261776
473,31.747583
474,0.11928138
475,0.17632602
476,0.10925244
477,0.115436606
478,0.098824
479,0.13072397
480,140.93542
481,0.17600691
482,0.046079524
483,89.05613
484,0.05659313
485,16.222406
486,66.88319
487,0.24301209
488,71.616165
489,74.5238
490,101.61498
491,0.13962053
492,0.0870509
493,0.13343331
494,102.75692
495,0.06850038
496,93.737854
497,24.070158
498,0.09199451
499,0.11552675
500,0.16977769
501,124.208534
502,0.07633758
503,90.97137
504,0.84152305
505,20.868073
506,90.42915
507,65.375534
508,0.040925574
509,78.97314
510,21.414036
511,0.053491376
512,167.02039
513,0.12621912
514,0.11516034
515,0.07792482
516,0.6033134
517,0.10030839
518,28.544882
519,0.2752617
520,0.12479418
521,0.12212385
522,60.082516
523,0.0762334
524,0.08503822
525,0.09256083
526,92.502525
527,0.14769152
528,0.3667356
529,0.19001962
530,0.14468898
531,60.200867
532,0.31720102
533,0.0639836
534,104.86669
535,18.219606
536,192.90631
537,129.76276
538,22.477547
539,0.13611984
540,0.092065334
541,0.10319323
542,0.07517867
543,0.08005617
544,6.5321836
545,0.15145358
546,0.0743944
547,65.561905
548,64.20869
